PlayerID,Class,Pos,Ht,Starter,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,PF,TP,AST,TO,BLK,STL,MIN,OpponentStrength,GameNumber
TS856XP,1,1,65,1,  5,16,  2,4,  8,12,1,1,2 ,3,20,0,2,0 ,1,33,0,4
CJ462YI,4,2,69,0,  2,6,  0,0,  2,2,4,0,4 ,4,6,1,1,0 ,0,15,-1,16
XK941IE,1,1,65,0,  1,3,  0,1,  0,0,0,0,0 ,2,2,2,0,1 ,0,13,0,4
UV038JF,1,1,61,0,  1,1,  0,0,  0,0,0,0,0 ,3,2,1,1,0 ,0,10,0,4
NT032ZN,1,1,64,1,  2,4,  0,0,  2,2,0,4,4 ,0,6,4,3,0 ,1,21,-1,23
CY873DI,2,1,70,1,  3,10,  0,3,  3,6,1,1,2 ,4,9,0,0,0 ,1,21,-1,23
HT266HI,4,1,67,1,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,0,0 ,0,3,0,21
TS856XP,1,1,65,0,  0,1,  0,0,  0,0,0,0,0 ,3,0,0,1,0 ,1,10,-1,12
HR028UK,4,2,69,1,  3,6,  0,0,  0,2,1,6,7 ,5,6,0,1,0 ,1,26,0,4
DP776ZP,1,2,71,1,  4,7,  0,0,  4,7,3,3,6 ,4,12,1,2,1 ,1,22,-1,23
CJ462YI,4,2,69,1,  2,6,  0,0,  0,0,0,1,1 ,3,4,0,0,1 ,2,19,-1,12
UV038JF,1,1,61,0,  1,1,  0,0,  0,0,0,1,1 ,0,2,0,2,0 ,0,5,0,22
NT032ZN,1,1,64,0,  2,8,  1,2,  0,0,1,0,1 ,0,5,0,1,0 ,0,19,0,14
BI425LD,1,1,65,0,  0,3,  0,3,  1,2,0,1,1 ,2,1,0,0,0 ,0,13,-1,12
HT266HI,4,1,67,0,  0,0,  0,0,  0,0,0,0,0 ,0,0,0,1,0 ,0,0,0,2
BI425LD,1,1,65,1,  3,9,  2,5,  1,4,0,2,2 ,4,9,0,1,0 ,1,35,-1,23
WC880WL,1,2,68,0,  0,2,  0,0,  0,0,2,2,4 ,0,0,0,0,0 ,0,7,-1,23
CY873DI,2,1,70,1,  0,7,  0,2,  7,8,1,2,3 ,5,7,0,3,2 ,1,38,1,17
